Question,SQL Query
What tools are commonly used in Solutions for Data Analytics?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics'
List all the tools for Solutions for Application Testing.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing'
What is the tool to be used in Solutions for Portal e-Learning KMS BI etc?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc'"
What are the tools in Solutions for Portal e-Learning KMS BI etc?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc'"
List all the tools in Solutions for Portal e-Learning KMS BI etc.,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc'"
What are the tools I should use for Solutions for Portal e-Learning KMS BI etc?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc'"
What is the tool to be used in Solutions for Application Development and Deployment?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Development and Deployment'
What are the tools in Solutions for Application Development and Deployment?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Development and Deployment'
List all the tools in Solutions for Application Development and Deployment.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Development and Deployment'
What are the tools I should use for Solutions for Application Development and Deployment?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Development and Deployment'
What is the tool to be used in Solutions for Source Code Management Dev Ops & Documentation?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation'"
What are the tools in Solutions for Source Code Management Dev Ops & Documentation?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation'"
List all the tools in Solutions for Source Code Management Dev Ops & Documentation.,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation'"
What are the tools I should use for Solutions for Source Code Management Dev Ops & Documentation?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation'"
What is the tool to be used in Solutions for Infrastructure?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure'
What are the tools in Solutions for Infrastructure?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure'
List all the tools in Solutions for Infrastructure.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure'
What are the tools I should use for Solutions for Infrastructure?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure'
What is the tool to be used in Solutions for GIS?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
What are the tools in Solutions for GIS?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
List all the tools in Solutions for GIS.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
What are the tools I should use for Solutions for GIS?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
What is the tool to be used in Solutions for Data Management?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management'
What are the tools in Solutions for Data Management?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management'
List all the tools in Solutions for Data Management.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management'
What are the tools I should use for Solutions for Data Management?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management'
What is the tool to be used in Solutions for Mobile Application Development Data Management GIS DevOps?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development,Data Management,GIS,DevOps'"
What are the tools in Solutions for Mobile Application Development Data Management GIS DevOps?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development,Data Management,GIS,DevOps'"
List all the tools in Solutions for Mobile Application Development Data Management GIS DevOps.,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development,Data Management,GIS,DevOps'"
What are the tools I should use for Solutions for Mobile Application Development Data Management GIS DevOps?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development,Data Management,GIS,DevOps'"
What is the tool to be used in Solutions for Data Analytics?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics'
What are the tools in Solutions for Data Analytics?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics'
List all the tools in Solutions for Data Analytics.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics'
What are the tools I should use for Solutions for Data Analytics?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics'
What is the tool to be used in Solutions for Application Testing?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing'
What are the tools in Solutions for Application Testing?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing'
List all the tools in Solutions for Application Testing.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing'
What are the tools I should use for Solutions for Application Testing?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing'
What tools are recommended for Solutions for Portal e-Learning KMS BI etc?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc';"
List the tools used in Solutions for Portal e-Learning KMS BI etc.,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc';"
Which tools should I consider for Solutions for Portal e-Learning KMS BI etc?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc';"
What tool is commonly used in Solutions for Portal e-Learning KMS BI etc?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc';"
What tools are recommended for Solutions for Application Development and Deployment?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Development and Deployment';
List the tools used in Solutions for Application Development and Deployment.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Development and Deployment';
Which tools should I consider for Solutions for Application Development and Deployment?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Development and Deployment';
What tool is commonly used in Solutions for Application Development and Deployment?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Development and Deployment';
What tools are recommended for Solutions for Source Code Management Dev Ops & Documentation?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation';"
List the tools used in Solutions for Source Code Management Dev Ops & Documentation.,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation';"
Which tools should I consider for Solutions for Source Code Management Dev Ops & Documentation?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation';"
What tool is commonly used in Solutions for Source Code Management Dev Ops & Documentation?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation';"
What tools are recommended for Solutions for Infrastructure?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure';
List the tools used in Solutions for Infrastructure.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure';
Which tools should I consider for Solutions for Infrastructure?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure';
What tool is commonly used in Solutions for Infrastructure?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure';
What tools are recommended for Solutions for GIS?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
List the tools used in Solutions for GIS.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
Which tools should I consider for Solutions for GIS?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
What tool is commonly used in Solutions for GIS?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
What tools are recommended for Solutions for Data Management?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management';
List the tools used in Solutions for Data Management.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management';
Which tools should I consider for Solutions for Data Management?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management';
What tool is commonly used in Solutions for Data Management?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management';
What tools are recommended for Solutions for Mobile Application Development Data Management GIS DevOps?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development,Data Management,GIS,DevOps';"
List the tools used in Solutions for Mobile Application Development Data Management GIS DevOps.,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development,Data Management,GIS,DevOps';"
Which tools should I consider for Solutions for Mobile Application Development Data Management GIS DevOps?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development,Data Management,GIS,DevOps';"
What tool is commonly used in Solutions for Mobile Application Development Data Management GIS DevOps?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development,Data Management,GIS,DevOps';"
What tools are recommended for Solutions for Data Analytics?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics';
List the tools used in Solutions for Data Analytics.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics';
Which tools should I consider for Solutions for Data Analytics?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics';
What tool is commonly used in Solutions for Data Analytics?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics';
What tools are recommended for Solutions for Application Testing?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing';
List the tools used in Solutions for Application Testing.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing';
Which tools should I consider for Solutions for Application Testing?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing';
What tool is commonly used in Solutions for Application Testing?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing';
What tools are recommended for Portal e-Learning KMS BI etc?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc';"
List the tools used in Application Development and Deployment.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Development and Deployment';
Which tools should I consider for Source Code Management Dev Ops & Documentation?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation';"
What tool is commonly used in Infrastructure?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure';
What tools are recommended for GIS?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
List the tools used in Data Management.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management';
Which tools should I consider for Mobile Application Development Data Management GIS DevOps?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development,Data Management,GIS,DevOps';"
What tool is commonly used in Data Analytics?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics';
What tools are recommended for Application Testing?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing';
What tools are recommended for Portal e-Learning KMS BI etc?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc';"
List the tools used in Application Development and Deployment.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Development and Deployment';
Which tools should I consider for Source Code Management Dev Ops & Documentation?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation';"
What tool is commonly used in Infrastructure?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure';
What tools are recommended for GIS?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
List the tools used in Data Management.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management';
Which tools should I consider for Mobile Application Development Data Management GIS DevOps?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development,Data Management,GIS,DevOps';"
What tool is commonly used in Data Analytics?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics';
What tools are recommended for Application Testing?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing';
What tools are recommended for Portal e-Learning KMS BI etc?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc';"
List the tools used in Application Development and Deployment.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Development and Deployment';
Which tools should I consider for Source Code Management Dev Ops & Documentation?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation';"
What tool is commonly used in Infrastructure?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure';
What tools are recommended for GIS?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
List the tools used in Data Management.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management';
Which tools should I consider for Mobile Application Development Data Management GIS DevOps?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development,Data Management,GIS,DevOps';"
What tool is commonly used in Data Analytics?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics';
What tools are recommended for Application Testing?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing';
What tools are recommended for Portal e-Learning KMS BI etc?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc';"
List the tools used in Application Development and Deployment.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Development and Deployment';
Which tools should I consider for Source Code Management Dev Ops & Documentation?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation';"
What tool is commonly used in Infrastructure?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure';
What tools are recommended for GIS?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
List the tools used in Data Management.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management';
Which tools should I consider for Mobile Application Development Data Management GIS DevOps?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development,Data Management,GIS,DevOps';"
What tool is commonly used in Data Analytics?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics';
What tools are recommended for Application Testing?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing';
What tools are recommended for Portal e-Learning KMS BI etc?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc';"
List the tools used in Application Development and Deployment.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Development and Deployment';
Which tools should I consider for Source Code Management Dev Ops & Documentation?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation';"
What tool is commonly used in Infrastructure?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure';
What tools are recommended for GIS?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
List the tools used in Data Management.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management';
Which tools should I consider for Mobile Application Development Data Management GIS DevOps?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development,Data Management,GIS,DevOps';"
What tool is commonly used in Data Analytics?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics';
What tools are recommended for Application Testing?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing';
What tools are recommended for Portal e-Lrning KMS BI etc?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc';"
List the tools used in Application Dev and Deployement.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Development and Deployment';
Which tools should I consider for Source Code Mgmt Dev Ops & Documntation?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation';"
What tool is commonly used in Infrastrcture?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure';
What tools are recommended for GIS?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
List the tools used in Data Mgmt.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management';
Which tools should I consider for Mobile App Dev Data Mgmt GIS DevOps?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development,Data Management,GIS,DevOps';"
What tool is commonly used in Data Anlytics?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics';
What tools are recommended for Application Testng?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing';
What tools are recommended for Portel e-Learning KMS BI etc?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc';"
What tools are recommended for Portal e-Lrning KMS Business Intelligence?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc';"
List the tools used in App Dev and Deployment.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Development and Deployment';
"Which tools should I consider for Source Code Mgmt, DevOps & Documntation?","SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation';"
What tool is commonly used in Infrastrcture?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure';
What tools are recommended for Geographic Information Systems?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
List the tools used in Data Mgmt.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management';
"Which tools should I consider for Mobile App Dev, Data Mgmt, GIS, and DevOps?","SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development,Data Management,GIS,DevOps';"
What tool is commonly used in Data Analysis?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics';
What tools are recommended for App Testing?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing';
"What tools are recommended for Portal e-Learning KMS, Business Intelligence?","SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc';"
What tools are recommended for Portal e-Lrning KMS Business Intelligence?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc';"
List the tools used in App Dev and Deployment.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Development and Deployment';
"Which tools should I consider for Source Code Mgmt, DevOps & Documntation?","SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation';"
What tool is commonly used in Infrastrcture?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure';
What tools are recommended for Geographic Information Systems?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
List the tools used in Data Mgmt.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management';
"Which tools should I consider for Mobile App Dev, Data Mgmt, GIS, and DevOps?","SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development,Data Management,GIS,DevOps';"
What tool is commonly used in Data Analysis?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics';
What tools are recommended for App Testing?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing';
What tools are recommended for Portal e-Lrning KMS Business Intelligence?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc';"
List the tools used in App Dev and Deployment.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Development and Deployment';
"Which tools should I consider for Source Code Mgmt, DevOps & Documntation?","SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation';"
What tool is commonly used in Infrastrcture?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure';
What tools are recommended for Geographic Information Systems?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
List the tools used in Data Mgmt.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management';
"Which tools should I consider for Mobile App Dev, Data Mgmt, GIS, and DevOps?","SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development,Data Management,GIS,DevOps';"
What tool is commonly used in Data Analysis?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics';
What tools are recommended for App Testing?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing';
What tools are recommended for Portal e-Lrning KMS Business Intelligence?,"SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Portal,e-Learning,KMS,BI,etc';"
List the tools used in App Dev and Deployment.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Development and Deployment';
"Which tools should I consider for Source Code Mgmt, DevOps & Documntation?","SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Source Code Management,Dev Ops & Documentation';"
What tool is commonly used in Infrastrcture?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Infrastructure';
What tools are recommended for Geographic Information Systems?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for GIS'
List the tools used in Data Mgmt.,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Management';
"Which tools should I consider for Mobile App Dev, Data Mgmt, GIS, and DevOps?","SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Mobile Application Development,Data Management,GIS,DevOps';"
What tool is commonly used in Data Analysis?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Data Analytics';
What tools are recommended for App Testing?,SELECT * FROM data WHERE FunctionalDomain = 'Solutions for Application Testing';
List the tools for Portal/CMS,SELECT * FROM data WHERE FunctionalArea = 'Portal/CMS'
What are the tools for Programming Language Client-side,SELECT * FROM data WHERE FunctionalArea = 'Programming Language Client-side'
What are the tools for Client-side Framework,SELECT * FROM data WHERE FunctionalArea = 'Client-side Framework'
What are the tools for Application Server,SELECT * FROM data WHERE FunctionalArea = 'Application Server'
What are the tools for Server Side Framework,SELECT * FROM data WHERE FunctionalArea = 'Server Side Framework'
What are the tools for Web Service Framework,SELECT * FROM data WHERE FunctionalArea = 'Web Service Framework'
What are the tools for Source Code Editor,SELECT * FROM data WHERE FunctionalArea = 'Source Code Editor'
What are the tools for Configuration Management for Distributed Systems,SELECT * FROM data WHERE FunctionalArea = 'Configuration Management for Distributed Systems'
What are the tools for GIS Desktop,SELECT * FROM data WHERE FunctionalArea = 'GIS Desktop'
What are the tools for Non-Relational Database (Big Data),SELECT * FROM data WHERE FunctionalArea = 'Non-Relational Database (Big Data)'
What are the tools for Mobile Native (iOS),SELECT * FROM data WHERE FunctionalArea = 'Mobile Native (iOS)'
What are the tools for Mobile Native (Android),SELECT * FROM data WHERE FunctionalArea = 'Mobile Native (Android)'
What are the tools for Messaging,SELECT * FROM data WHERE FunctionalArea = 'Messaging'
What are the tools for Analytics and Search Engine,SELECT * FROM data WHERE FunctionalArea = 'Analytics and Search Engine'
What are the tools for Testing,SELECT * FROM data WHERE FunctionalArea = 'Testing'
What are the tools for Build Tool,SELECT * FROM data WHERE FunctionalArea = 'Build Tool'
What are the tools for Video Conference,SELECT * FROM data WHERE FunctionalArea = 'Video Conference'
What are the tools for Source Code Control,SELECT * FROM data WHERE FunctionalArea = 'Source Code Control'
Which tools are used for Portal/CMS,SELECT * FROM data WHERE FunctionalArea = 'Portal/CMS'
Which tools are used for Programming Language Client-side,SELECT * FROM data WHERE FunctionalArea = 'Programming Language Client-side'
Which tools are used for Client-side Framework,SELECT * FROM data WHERE FunctionalArea = 'Client-side Framework'
Which tools are used for Application Server,SELECT * FROM data WHERE FunctionalArea = 'Application Server'
Which tools are used for Server Side Framework,SELECT * FROM data WHERE FunctionalArea = 'Server Side Framework'
What tools are recommended for managing Server Operating Systems?,SELECT * FROM data WHERE FunctionalArea = 'Server Operating System'
Show me the tools used for Mobile Native (iOS) development.,SELECT * FROM data WHERE FunctionalArea = 'Mobile Native (iOS)'
List all the tools for Database Replication.,SELECT * FROM data WHERE FunctionalArea = 'Database Replication'
Which tools are suitable for GIS Server management?,SELECT * FROM data WHERE FunctionalArea = 'GIS Server'
What are the tools commonly used in Business Intelligence (BI) solutions?,SELECT * FROM data WHERE FunctionalArea = 'Business Intelligence (BI)'
Show me tools for Virtualisation.,SELECT * FROM data WHERE FunctionalArea = 'Virtualisation'
What tools are associated with E-learning platforms?,SELECT * FROM data WHERE FunctionalArea = 'E-learning'
List tools for Source Code Control.,SELECT * FROM data WHERE FunctionalArea = 'Source Code Control'
Which tools should I use for Cross-platform application development?,SELECT * FROM data WHERE FunctionalArea = 'Cross-platform'
What tools are recommended for managing Containers?,SELECT * FROM data WHERE FunctionalArea = 'Containers'
Show me the tools used for Messaging.,SELECT * FROM data WHERE FunctionalArea = 'Messaging'
List all the tools for Web Service Framework.,SELECT * FROM data WHERE FunctionalArea = 'Web Service Framework'
Which tools are used for Application Server?,SELECT * FROM data WHERE FunctionalArea = 'Application Server'
